No,name,score,recommendation,yanyuan,daoyan,year,country,classes
66,窃听风暴,9.2,别样人生。,,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,2006,德国,剧情 悬疑
67,情书,8.9,暗恋的极致。,主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,导演: 岩井俊二 Shunji Iwai,1995,日本,剧情 爱情
68,两杆大烟枪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,主演: Jason Flemyng / Dexter Fletcher / Nick Moran,导演: Guy Ritchie,1998,英国,剧情 喜剧 犯罪
69,西西里的美丽传说,8.9,美丽无罪。,主演: 莫妮卡·贝鲁奇 Monica ...,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,2000,意大利 美国,剧情 战争 情色
70,音乐之声,9.1,用音乐化解仇恨，让歌声串起美好。,主演: 朱莉·安德鲁斯 Julie Andrews / 克...,导演: 罗伯特·怀斯 Robert Wise,1965,美国,剧情 传记 爱情 歌舞
71,看不见的客人,8.8,你以为你以为的就是你以为的。,主演: 马里奥·卡萨斯 Mario Casas / 阿...,导演: 奥里奥尔·保罗 Oriol Paulo,2016,西班牙,剧情 犯罪 悬疑 惊悚
72,阿凡达,8.8,绝对意义上的美轮美奂。,主演: 萨姆·沃辛顿 Sam Worthington ...,导演: 詹姆斯·卡梅隆 James Cameron,2009,美国,动作 科幻 冒险
73,拯救大兵瑞恩,9.1,美利坚精神输出大片No1.,主演: 汤姆·汉克斯 Tom Hanks...,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1998,美国,剧情 战争
74,小鞋子,9.2,奔跑的孩子是天使。,主演: 默罕默德·阿米尔·纳吉 Mohamma...,导演: 马基德·马基迪 Majid Majidi,1997,伊朗,剧情 儿童 家庭
75,飞越疯人院,9.1,自由万岁。,主演: 杰克·尼科尔森 Jack Nichols...,导演: 米洛斯·福尔曼 Miloš Forman,1975,美国,剧情
76,哈利·波特与死亡圣器(下),9.0,10年的完美句点。,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,导演: 大卫·叶茨 David Yates,2011,美国 英国,奇幻 冒险
77,沉默的羔羊,8.9,安东尼·霍普金斯的顶级表演。,主演: 朱迪·福斯特 Jodie Foster / 安...,导演: 乔纳森·戴米 Jonathan Demme,1991,美国,剧情 犯罪 惊悚
78,布达佩斯大饭店,8.9,小清新的故事里注入了大历史的情怀。,主演: 拉尔夫·费因斯 Ralph Fiennes / ...,导演: 韦斯·安德森 Wes Anderson,2014,美国 德国 英国,剧情 喜剧 冒险
79,禁闭岛,8.9,昔日翩翩少年，今日大腹便便。,主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,导演: Martin Scorsese,2010,美国,剧情 悬疑 惊悚
80,蝴蝶效应,8.9,人的命运被自己瞬间的抉择改变。,主...,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
81,致命魔术,8.9,孪生蝙蝠侠大战克隆金刚狼。,主演: 休·杰克曼 Hugh Jackman...,导演: 克里斯托弗·诺兰 Christopher Nolan,2006,英国 美国,剧情 悬疑 惊悚
82,功夫,8.8,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,导演: 周星驰 Stephen Chow,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
83,海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,主演: Richard O'Barry / 路易·西霍...,导演: 路易·西霍尤斯 Louie Psihoyos,2009,美国,纪录片
84,心灵捕手,8.9,人生中应该拥有这样的一段豁然开朗。,主演: 马特·达蒙 Matt Damon / 罗宾·...,导演: 格斯·范·桑特 Gus Van Sant,1997,美国,剧情
85,低俗小说,8.9,故事的高级讲法。,主演: 约翰·特拉沃尔塔 John Tra...,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,1994,美国,剧情 喜剧 犯罪
86,哈利·波特与阿兹卡班的囚徒,8.9,不一样的导演，不一样的哈利·波特。,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,导演: Alfonso Cuarón,2004,英国 美国,奇幻 冒险
87,春光乍泄,9.0,爱情纠缠，男女一致。,主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,导演: 王家卫 Kar Wai Wong,1997,中国香港 日本 韩国,剧情 爱情 同性
88,美国往事,9.2,往事如烟，无处祭奠。,主演: 罗伯特·德尼罗 Robert De Niro ...,导演: 赛尔乔·莱翁内 Sergio Leone,1984,美国 意大利,犯罪 剧情
89,摩登时代,9.3,大时代中的人生，小人物的悲喜。,主演: 查理·卓别林 Charles Chaplin ...,导演: 查理·卓别林 Charles Chaplin,1936,美国,剧情 喜剧 爱情
90,超脱,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。,主演: 艾德里安·布洛迪 Adrien Brody / 马西...,导演: 托尼·凯耶 Tony Kaye,2011,美国,剧情
91,喜剧之王,8.8,我是一个演员。,主演: 周星驰 Stephen Ch...,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,中国香港,喜剧 剧情 爱情
92,致命ID,8.9,最不可能的那个人永远是最可能的。,主演: 约翰·库萨克 John Cusack / 雷...,导演: 詹姆斯·曼高德 James Mangold,2003,美国,剧情 悬疑 惊悚
93,杀人回忆,8.9,关于连环杀人悬案的集体回忆。,主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,导演: 奉俊昊 Joon-ho Bong,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
94,七宗罪,8.8,警察抓小偷，老鼠玩死猫。,主演: 摩根·弗里曼 Morgan Freeman / 布...,导演: 大卫·芬奇 David Fincher,1995,美国,剧情 犯罪 悬疑 惊悚
95,红辣椒,9.1,梦的勾结。,主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,导演: 今敏 Satoshi Kon,2006,日本,动画 悬疑 科幻 惊悚
